timestamp, low_ask, low_bid, high_ask, high_bid
2019-08-23T21:00:00,2851.18,2852.68,2851.18,2852.68
2019-08-25T21:00:00,2810.51,2811.11,2827.38,2827.98
2019-08-25T23:00:00,2818.76,2819.36,2833.76,2834.36
2019-08-26T01:00:00,2823.51,2824.11,2842.76,2843.36
2019-08-26T03:00:00,2832.26,2832.86,2842.51,2843.11
2019-08-26T05:00:00,2828.51,2829.11,2855.01,2855.61
2019-08-26T07:00:00,2852.51,2853.11,2880.51,2881.11
2019-08-26T09:00:00,2864.51,2865.11,2888.01,2888.61
2019-08-26T11:00:00,2865.76,2866.36,2880.51,2881.11
2019-08-26T13:00:00,2855.7,2856.1,2877.51,2878.11
2019-08-26T15:00:00,2862.7,2863.1,2878.7,2879.1
2019-08-26T17:00:00,2864.14,2864.54,2877.89,2878.29
2019-08-26T19:00:00,2866.44,2866.84,2883.57,2884.48
2019-08-26T21:00:00,2880.07,2880.67,2884.32,2884.92
2019-08-26T23:00:00,2875.07,2875.67,2881.07,2881.67
2019-08-27T01:00:00,2877.57,2878.17,2886.82,2887.42
2019-08-27T03:00:00,2880.94,2881.54,2886.57,2887.17
2019-08-27T05:00:00,2872.82,2873.42,2883.07,2883.67
2019-08-27T07:00:00,2869.32,2869.92,2878.57,2879.17
2019-08-27T09:00:00,2873.57,2874.17,2886.32,2886.92
2019-08-27T11:00:00,2882.32,2882.92,2895.82,2896.42
2019-08-27T13:00:00,2882.52,2882.92,2899.17,2899.57
2019-08-27T15:00:00,2860.48,2860.88,2885.77,2886.17
2019-08-27T17:00:00,2860.23,2860.63,2877.48,2877.88
2019-08-27T19:00:00,2862.01,2862.61,2881.48,2881.88
2019-08-27T21:00:00,2864.55,2865.61,2872.89,2873.49
2019-08-27T23:00:00,2867.89,2868.49,2875.89,2876.49
2019-08-28T01:00:00,2869.64,2870.24,2876.89,2877.49
2019-08-28T03:00:00,2871.89,2872.49,2876.39,2876.99
2019-08-28T05:00:00,2872.89,2873.49,2876.14,2876.74
2019-08-28T07:00:00,2862.64,2863.24,2876.14,2876.74
2019-08-28T09:00:00,2865.14,2865.74,2873.89,2874.49
2019-08-28T11:00:00,2853.39,2853.99,2868.89,2869.49
2019-08-28T13:00:00,2851.49,2851.89,2881.54,2881.94
2019-08-28T15:00:00,2875.04,2875.44,2887.66,2888.06
2019-08-28T17:00:00,2879.55,2879.95,2889.55,2889.95
2019-08-28T19:00:00,2880.46,2881.06,2890.3,2890.7
2019-08-28T21:00:00,2881.73,2882.69,2886.96,2887.63
2019-08-28T23:00:00,2881.09,2881.69,2885.34,2885.94
2019-08-29T01:00:00,2874.59,2875.19,2882.34,2882.94
2019-08-29T03:00:00,2877.84,2878.44,2881.59,2882.19
2019-08-29T05:00:00,2880.09,2880.69,2884.84,2885.44
2019-08-29T07:00:00,2878.84,2879.44,2909.84,2910.44
2019-08-29T09:00:00,2908.59,2909.19,2918.09,2918.69
2019-08-29T11:00:00,2913.09,2913.69,2918.84,2919.44
2019-08-29T13:00:00,2904.69,2905.09,2924.69,2925.09
2019-08-29T15:00:00,2914.44,2914.84,2928.1,2928.5
2019-08-29T17:00:00,2924.1,2924.5,2930.35,2930.75
2019-08-29T19:00:00,2921.46,2921.86,2927.21,2927.61
2019-08-29T21:00:00,2920.84,2921.44,2923.72,2924.92
2019-08-29T23:00:00,2919.97,2920.57,2925.97,2926.57
2019-08-30T01:00:00,2923.97,2924.57,2933.47,2934.07
